# PROOFS FOR THE ASSERTIONS LISTED BELOW. Not "every assertion in check.py" -- an earlier
# version of this header claimed that and was false: seven assertions had no row at all.
# Claiming coverage you do not have is the defect this whole skill is built against, so the
# scope of this file is now stated as what it is.
#
# Re-executed 2026-09-02 against the CURRENT tree, in an isolated copy under /tmp holding only
# flow-routing.md, papers-flow.md, index.md and coverage.md -- so that other authors' in-flight
# documents could not colour a result. Every mutation was applied to a SUBJECT (a document, the
# bibliography, the coverage map or the index), never to the guard, and reverted afterwards.
#
# WHY THE PREVIOUS VERSION OF THIS FILE WAS WRONG, recorded rather than quietly replaced:
#   - it claimed "every assertion"; seven had no row (no bibliography file, missing `type`,
#     bad `status`, `okf_version` outside the index, a `sources` entry with no `id`, a declared
#     source never cited in the body, and the duplication check)
#   - one row's mutation did not produce the output recorded beside it (+250 filler lines was
#     said to give 602 lines; the document is 102 lines, so it gave 352 and did not trip the cap)
#   - rows recorded before a rename still named `papers.md`, a file that no longer exists
#   - the locator row claimed "a citation a reader cannot check" and proved only that a KEY was
#     present -- `locator: ""` passed
#   - the front-matter row claimed the subset was enforced, proved for inline maps only, while
#     inline lists carried the identical unfixed bug
# All of these were found by an adversarial review, not by me.
#
# ── RE-EXECUTED 2026-09-06, PHASE 0 ──────────────────────────────────────────────────────────
# Every row below carrying a NUMBER was re-run against the current tree in an isolated copy
# under /tmp, and the numbers replaced with what the run printed. What moved, and why it is
# recorded rather than quietly corrected:
#   - row `per-document line cap` said "+400 filler lines (918 total)" against a 411-line
#     document. Both halves were wrong: the mutation writes `'\nfiller\n'*400`, which is 800
#     lines, not 400, and 411 + 800 is 1211, not 918. The register was enshrining a number
#     nobody had re-run -- the same defect its own header records for the previous version.
#   - the coverage-target row's line number moved 77 -> 88 as coverage.md grew.
#   - every REPORTED metric moved with the corpus: locators 24/133 -> 170/241, unread
#     22/232 -> 26/256, approximation 4/36 -> 7/37, propagation 15/245 -> 16/256, reach
#     18/193 -> 17/193, recommendation-first 19/20 -> 36/37.
#   - "69 of 196 entries wrap onto a continuation line" was stale twice over; the measured
#     figure is 88 of 214, which is what check_propagation's docstring already said. Two
#     places in the guard disagreed about the same count and neither was re-run.
#   - requote's ENUMERATION was re-run and moved: 119 -> 120 checkable quotations, 68 -> 71
#     carrying no resolvable citation id, plus exclusion counts the tool did not print at all
#     when the row was written (394 spans under the 40-character floor, 0 code/URL spans, 425
#     lines inside fences). Its LOCATION SPLIT -- 6 located, 1 not found, 112 UNFETCHED --
#     could NOT be re-run: that needs the 42-PDF artefact cache, which this session does not
#     have. It is left with the date it was taken and marked NOT RE-RUN rather than
#     re-asserted. A number nobody re-measured is exactly what this block is fixing.
# Two rows were also DOWNGRADED to the literal mutation each covers -- see them below.
assertion	mutation	expected	observed	verdict
the dead `note` key in check_propagation is REMOVED, not filled -- and the reason is a measurement, not an oversight	build it: populate `note` from each entry's continuation lines and compare `ref + note` against every citing locator	if the repair is right, more comparable pairs and no new false positives	BUILT AND RE-MEASURED 2026-09-06. Comparable pairs rise 16/256 -> 48/256 and it reports SEVEN corpus-wide hits, every one of them correct prose: mei2007's entry names §3 while three documents cite §3.2, §3.2.1, §3.2.2 and §4 (a PARENT section, read as disjoint by a token compare); stava2008's entry names §4 for the pipe cross-section while two documents cite §5, §7 and §8 for other claims; hillaire2020's entry names §7 for the cost figures while two documents cite §5.3. Seven for seven false	REJECTED, AND THE KEY DELETED RATHER THAN LEFT DEAD. `_scan` never built the key, so `f"{entry['ref']} {entry.get('note', '')}"` was always half empty string -- a dead expression that LOOKED like it read the whole entry. The choice recorded here is: delete the use, keep the reach at 16/256 deliberately, and say so in the docstring. It is the identical false-positive shape this register already records for the body-prose direction -- a document legitimately cites different sections of one paper for different claims, and an entry need not enumerate them all
the guard's error text names a file that EXISTS	cite an id absent from every bibliography	red, naming where to look	red -- "cites `nonexistent_paper`, absent from every references/papers*.md (papers-architecture.md, papers-coastal-and-ice.md, papers-flow.md, papers-generation.md, papers-masks-and-filtering.md, papers-rendering.md, papers-simulation.md)"	PROVEN. The message said "absent from papers.md" for a whole rename -- a file that has not existed since the bibliography was split into seven family files. This register's own header records rows naming `papers.md` as a known post-rename defect, so the register was corrected and the guard's error text was not, inside the tool that polices exactly that shape. The glob is now a single constant, `PAPERS_GLOB`, read by both `paper_files()` and the message, so a future split cannot stale it again
source-code line ranges count as a locator	score the lague_erosion locator, which names Erosion.cs plus four line ranges	SHARP -- a file and a line range is more followable than most section numbers	was scored VAGUE before the fix; SHARP after, and the corpus ratio moved 64% to 68% with two locators reclassified (lague_erosion and barnes2014's 'Algorithm 3 line 1')	PROVEN -- fixtures 'Erosion.cs lines 47-128' and 'line 124, the speed update' assert SHARP, and 'the droplet loop and brush weights in the published source' still asserts vague
unread sources are counted, not hidden	add and remove the NOT OPENED marker on a locator	the `unread` line moves by one	26/256 (10%) of citations declare the source was never opened (re-measured 2026-09-06; 22/232 when this row was written); --selftest asserts 6 fixtures, including that `no artefact:` and `Abstract only` are NOT counted as unread, and that a lower-case `not opened` counts	PROVEN -- but note what it is: it counts a DECLARATION, and its only guarantee is that a writer who declines to declare is making a claim in prose the guard will not repeat. It cannot detect an undeclared unread source, and nothing can
source-code line ranges stay a locator	replace the `\blines?\s+\d` alternative in LOCATOR_PRECISE with one that never matches	--selftest red	red -- the two source-code fixtures reclassify as vague	PROVEN, run locally before it was added to CI
the not-opened marker stays wired	replace LOCATOR_NOT_OPENED with a tuple that matches nothing	--selftest red	red -- the two NOT OPENED / NO LOCATOR fixtures stop counting as unread	PROVEN, run locally before it was added to CI
headings are structural, not decoration	re-inject the exact splice that shipped: swallow a section's heading into a sentence and leave the fragment as a `## ` line	red	red -- references/driver-fields.md:327: heading has an unbalanced backtick. The duplicate-name rule catches the same corruption independently	PROVEN against a copy of the tree. Every other check stayed green on the corrupted file: citations resolved, the cap held, front matter parsed, `## Use this` was still first. A document could be spliced in half and ship
a document's axis tag and its coverage section agree	re-tag sea-ice.md `generation` while coverage.md files it under `## Simulation`	red	red -- references/sea-ice.md:75: tagged `generation` ... but coverage.md files it under `simulation`. A second case, removing the axis tag entirely, is also caught	PROVEN against a copy. Three documents had drifted this way and NOTHING could see it: check_coverage matches topics to files and never reads the headings those topics sit under
`--check` sees a hand-written line that BEGINS `generated:`	insert `generated: FABRICATED -- 99 documents, all human-verified` under the index heading	red	red -- previously reported `index.md is current`, exit 0, because the staleness filter DELETED every line starting with that prefix from both sides instead of normalising the stamp	PROVEN, and DOWNGRADED 2026-09-06 to the one injection shape it covers. It was filed as "not blind to a hand-written `generated:` line", which reads as a general claim about the filter, and the general claim was FALSE while this row said PROVEN: normalising the stamp closed this shape and left a second one open, because `[^,]` and `[^}]` match NEWLINES, so the pattern ran from `at: ` to the next `}` anywhere in the file. An index whose heading was followed by a `}`-free block still reported `index.md is current`, exit 0. That needed the anchored pattern and a row of its own -- see `the index stamp normaliser is anchored to ONE line`. One row saying PROVEN over two exploits is how the second one survived
an apostrophe does not merge list items	parse `tags: [don't, generation, won't]`	three items	one item -- the apostrophe opened a quoted span and swallowed both commas; `[rock's, sand's, generation]` gave two items instead of three	PROVEN and FIXED. Only the double quote opens a span now. No document in the corpus currently has an apostrophe in a list, so this was latent -- and the first tag is the axis, so it would have silently refiled a document
check_not_opened actually runs	remove a `[not-opened]` tag while the citing locator still declares NOT OPENED	red	red	PROVEN. Gutting the function to `return []` did NOT prove this -- on a clean corpus a check that finds nothing is indistinguishable from a check that does nothing, and all three new guards passed that way
check_headings actually runs	duplicate `## Use this` at the same level in caustics.md	red	red	PROVEN, replacing an earlier gutting mutation that was vacuous for the same reason
check_axis_agreement actually runs	tag sea-ice.md `generation` while coverage.md files it under Simulation	red	red	PROVEN
a trailing [not-opened] is not swallowed	write the tag at the END of an entry, where the two sibling tags go	--selftest red if the regex drops it	two fixtures added; the regex now accepts both positions and the parser ORs them	PROVEN. 88 of 214 entries wrap onto a continuation line (re-measured 2026-09-06; the row said 69 of 196 and check_propagation's docstring said 88 of 214 -- two places in the guard disagreeing about one count, neither re-run), so for those the visual end of the entry is a line the opener regex never reads -- exactly where a hand would put the tag
approximation 7/37 documents (19%) state BOTH an error and a cost -- re-measured 2026-09-06; 4/36 when this row was written, and 10 give an error with no cost, 3 a cost with no error, 17 neither	NOT PROVEN	REPORTED METRIC, not a check. Counts documents whose body contains BOTH an error (a +/- figure, "within N%", "N% too low", "max relative error") and a cost (a number bound to ms, us, MB, GB, KB, TB, MiB, GiB, KiB, fps, "bytes per cell", or budget-tier language). An earlier version counted cost alone, which measured the wrong unit -- cost is half of a pair. Selftest carries 13 cost fixtures and 11 error fixtures. Both patterns require a NUMBER. The design decisions they pin: wall-clock prose ("about 2 minutes at 16 azimuths", "an e-folding time of 1.3 hours") must NOT count, because it is indistinguishable by pattern from a physical timescale -- coastal-erosion.md's 1.3 hours is a shoreline, not a bake; bare budget-tier phrases ("too expensive per frame", "synthesise triangles per frame", "choose a budget tier") must NOT count, because they are subject matter and not measurements; and on the error side a negation ("we did not compute an RMSE"), a bare acronym ("MAE") and a qualitative phrase ("near-constant relative error") must NOT count. THIS METRIC READ 10/36 FOR HALF A DAY BECAUSE THE COST PATTERN MATCHED THOSE BARE PHRASES -- six of the ten in the `both` bucket had no numeric cost at all. It is recorded here rather than quietly fixed, because a metric that counts prose is the exact failure it was built to detect.	It counts a UNIT, not a claim. A document could print "32 MB" in an unrelated aside and score; a document could give a careful asymptotic cost in cells and not. It is a floor on how many documents discuss cost at all. It also cannot tell a measured cost from a quoted one.	OPEN
propagation: both ends of a citation must name overlapping sections	PROVEN by CI mutation	Moves the fiorio1996 locator in mask-operators.md from section 1 to section 9 at the DOCUMENT end only, leaving the bibliography entry saying section 1. No other check in the file sees it: the id still resolves, the locator is still non-empty and still counts as sharp. Selftest carries 7 fixtures pinning the token extractor -- the seventh is the text of a WRAPPED entry's continuation line, which tokenises perfectly and is deliberately not read; it pins that the reach is a choice, not an inability to parse, including the one that decided its design -- "the paper `hnaidi2010` section 4.2 borrows from" must yield NOTHING, because that section belongs to a different paper named in the prose. Without that filter the guard's single corpus-wide hit was exactly that false positive.	IT SEES ONLY 6% OF CITATIONS. 16 of 256 pairs name a section at both ends (re-measured 2026-09-06; 15 of 245 when written); the other 240 name one at one end or neither and cannot be cross-checked at all. It reports that ratio for exactly this reason. It also only fires on DISJOINT sets -- overlap passes, because an entry legitimately describes more of a paper than any one document cites -- and it reads sections only, never page numbers.	PROVEN
# NEGATIVE RESULT, recorded rather than shipped: a body-prose direction for the propagation guard
# was built and measured and does NOT work. Comparing section tokens in body prose against the
# front-matter locator for the same id finds ~50 comparable pairs (against 15 for the
# frontmatter-vs-bibliography direction), but its only corpus-wide hit is a FALSE POSITIVE:
# noise-and-warping.md cites perlin2002 section 3 in its front matter for the quintic fade and
# section 2 in its body for where the second derivative is written down. Both are correct. A
# document legitimately cites different sections of one paper for different claims, and a locator
# need not enumerate them all, so an intersection test fires on correct prose.
#
# A second limitation, found the same way and worth stating because it defeated a REAL defect:
# terrain-analysis-masks.md's body attributed a claim to timonen2010 section 4 while its own front
# matter said "Section 4 ... carries neither claim". The guard could not see it, because the
# locator NAMES section 4 in order to exclude it, and an intersection test is satisfied by a
# mention. A locator containing a negative statement is invisible to this instrument. That case was
# found by a critic and fixed by hand.
a subject critic's self-marked CONFIRMED is not evidence; an adversarial verifier must re-derive each finding	ran one subject critic over terrain-analysis-masks.md, then a separate adversarial verifier briefed to DISPROVE each of its 16 findings against the artefacts	if critic confidence tracked correctness, the verifier would confirm all 16	Refuted: F1 (Timonen's real-time result does not refute a bake recommendation whose stated criterion is baseline length, and the paper's own section 9 proposes the 4k offline use); F2 as filed (its opening -- no accuracy figure anywhere in the file -- is false, and the same critic verifies three of those figures elsewhere in its own report; the COST half stands); F15; F16; and items 1 and 2 of F11. Two further findings, F3 and F4, were already fixed on disk before the critic finished, so were STALE rather than defects. Net: 9 of 16 filed findings were actionable as stated. Applying on the critic's word would have reversed a correct recommendation and deleted a true warning. The verifier also caught the critic UNDERSTATING one defect and getting one rendering analysis backwards while still reaching the right fix -- so a verifier that only says yes or no is not enough; it has to re-derive.	GUARD JUSTIFIED. 9 of 16 filed findings were actionable as stated. Applying on the critic's word would have reversed a correct recommendation and deleted a true warning. Verification is not optional at this refutation rate.
the 'content lives only in prose' defect -- found BY HAND in five consecutive documents -- can be caught by a lexical check on section headings	built check_section_reach(): for each ## section other than Use this and the failure table, test whether ANY content word of its heading appears in the union of those two. Then ran it against hydraulic-erosion.md at 634ca6f, the exact pre-fix version whose grain-classes section (31% of the body, carrying armouring, downstream fining, per-class capacity and per-class repose) reached neither end.	the motivating case is reported as unreachable	IT REPORTS NOTHING. The heading is 'Grain classes: one capacity, one talus angle, and why that is not enough', and the words 'capacity' and 'angle' both already appear in that document's failure table -- in rows belonging to the PIPE section. Weighting by corpus-wide document frequency does not rescue it: 'capacity' is rare across the corpus and still present in this document's own table. Tried both rules; both pass the defect.	GUARD DOES NOT HOLD FOR ITS MOTIVATING CASE, and is shipped saying so in its docstring and in its reported line. Lexical overlap cannot separate 'the table covers this section' from 'the table happens to use this word elsewhere' -- the distinction is semantic, so no stronger WORD rule fixes it; a different instrument would be needed. Kept for the strictly weaker condition it can see -- a section with no lexical contact with either end at all -- which flags 17 of 193 (re-measured 2026-09-06; 18 of 193 when written). NOTE: the first two cases cited as real when this row was written -- 'The three-media rule' and 'The 42 degree switch' -- were BOTH false positives, and fixing them took the count from 21 to 18. The first was covered by a failure row saying 'Three media attenuating the same path', missed because the hyphen made one token where the row has two; the second is named in Use this and three failure rows, missed because the distinctive term is a NUMBER and the pattern required a leading letter. The two examples reached for first as evidence the guard worked were both wrong, which is itself the measurement. What remains is mostly generic navigational headings (Submission, The ladder, Where this sits in the pipeline, The handoff) for which a failure row would be meaningless. It does NOT discharge the hand review, and this row exists so nobody rebuilds it and believes it works.
a correction written by the lead is about as likely to carry a new defect as the claim it replaces, and adversarial verification is what catches it	three lead corrections this session, each checked by a verifier reading the commit itself: the MFD underflow fix in flow-routing.md, the P-tier downgrade reasoning, and the cordonnier2016 locator propagation in papers-flow.md and flow-routing.md	that re-deriving a critic's finding before applying it is sufficient	IT IS NOT. (1) The MFD fix shipped 'exactly p >= 22, a property of the double, not of your terrain' -- generalised from a fixed eps that was not the document's own ulp-scaled algorithm, contradicting the same document 110 lines earlier; it also said water was DESTROYED after measuring only edge delivery, when auditing every terminus shows it conserved and stranded; and its one-line fix divided by zero on real pits. (2) The cordonnier2016 propagation DELETED A CORRECT LOCATOR: the retraction was about which section carries the ATTRIBUTION, and section 5 is still the right locator for the scheme and eq. 2, which stream-power.md says in the same passage the retraction sits in. It also asserted the artefact was unfetchable; that is true from this session -- three curls, 12507-byte bot challenge each time -- but a verifier fetched 10,771,411 bytes, so the claim was scoped too widely.	THE VERIFIER LAYER IS LOad-BEARING FOR THE LEAD, NOT ONLY FOR CRITICS. All three were caught by an adversarial verifier reading the commit, not by the lead re-reading it. The rate is roughly one defective correction per three applied, which is indistinguishable from the critic refutation rate. Corrections must be verified on the same terms as findings.
the corpus's worst recurring defect -- a quotation cut at the clause that reverses it -- can be caught mechanically	built gaia/scripts/requote.py: extract every quotation of 40+ chars with its citation id, locate it in the cached artefact, and print the artefact's NEXT 240 characters. Ran it over the whole corpus against a 42-PDF cache.	the tool flags cuts	IT DOES NOT FLAG THEM AND CANNOT. A cut quotation is PRESENT in its artefact -- that is what makes it a cut rather than a misquotation -- so no text search can distinguish it from an honest quotation. What the tool can do is SURFACE THE CONTINUATION so a reader sees what was dropped; the judgement stays human. Corpus enumeration re-run 2026-09-06: 120 checkable quotations, 71 carrying no resolvable citation id, and -- new, because the tool now prints what it drops -- 394 quoted spans under the 40-character floor, 0 code or URL spans, 425 lines inside fenced blocks. The LOCATION SPLIT is NOT re-run and keeps its 2026-09-03 date: 6 located, 1 not found, 112 UNFETCHED, about 5% of the corpus's quotations. It needs the 42-PDF artefact cache, which the 2026-09-06 session did not have, and a number nobody re-measured is what the header of this file exists to stop. What WAS re-run is the fixture suite, 16/16, which now includes a fixture CORPUS on disk: `check()` gained a `docs=` parameter so `--selftest` calls the function itself rather than only its helpers -- before that, gutting `check()` to `return [], 0, 0, 0, 0` left the selftest green, an assertion defined and never invoked. `main()` also exits non-zero when a cache is supplied and `match + altered == 0` (nothing checked is not a pass) and when anything is ALTERED, and it prints the three exclusion counts -- quotations under the 40-character floor, code and URL spans, and lines inside fences -- so the denominator the ratio is NOT taken over is on screen.	GUARD SHIPS WITH ITS LIMITS STATED, and it caught three defects in ITSELF before catching any in the corpus. (1) Front-matter locators are YAML double-quoted strings, so the first version read every LOCATOR as a verbatim quotation and reported 19 ALTERED -- a description read as a quotation, which is the same 'right content, wrong coordinate' shape the corpus records. (2) The apostrophe in a possessive opened a quotation: it matched "paper's own axis pair is DOMAIN and RANGE ... search it for" as quoted text. (3) pdfminer breaks words across column wraps -- barnes2014 extracts as 'works by inse rting' and 'flooding a nd' -- so two of its four surviving findings were the reader's artefact, not the corpus's defect; fixed with a whitespace-stripped fallback and an index map so continuations still slice from the original. Net real finding in the corpus: one ASCII rendering presented inside quote marks as verbatim (bavoil2008's W(r) = 1 - r squared), now marked a transcription. The 112 UNFETCHED is the honest headline: this instrument is bounded by artefact access, not by its logic.
a corpus that records its own errors will crowd its recommendations out with revision history	counted every warning block inside every  section, and separately those phrased as self-errata (an earlier version / used to read / an intermediate revision), across all 38 documents	self-errata have accumulated in the recommendation sections, where a reader goes for the answer	MEASURED, AND THE WORRY IS LOCALISED RATHER THAN SYSTEMIC. Fifteen documents carry a warning block inside ; THIRTEEN of them carry zero self-errata there. Only three instances exist corpus-wide: driver-fields.md (1, and it is the FIRST thing in the section) and surface-and-scale-space.md (2, both added by the lead today). Corpus-wide the self-erratum share of ALL warning blocks is modest -- worst is surface-and-scale-space at 4 of 13, most documents under 20%.	FINDING NARROWED FROM A PROCESS RISK TO THREE SITES. An architect reported 7 of 22 warning blocks in driver-fields.md as revision history; a strict pattern gives 3 of 22, so the count is contested, but its sharper claim -- that  OPENS with an erratum -- is confirmed for that file. Fixed the two in surface-and-scale-space by REORDERING rather than deleting: the actionable claim leads, the erratum trails in the same sentence. The record is kept, because recording its own errors is this corpus's doctrine; what changes is that a reader opening the recommendation section now reads a recommendation first. driver-fields.md left alone pending its verifier.
